"BLUP","Genotype"
2.58330519062808,"a95_681006"
2.58093868628319,"u90_3108"
2.57690577324193,"a06_812020"
2.57690577324192,"ld04_13209"
2.57565492337883,"c1972"
2.57526967631849,"hm16_l079"
2.56852845897584,"ld12_15246r2a"
2.56592952875542,"c1984"
2.56411921473455,"ln88_9900"
2.55815546171026,"u16_904142"
2.55240690977503,"ln92_11498"
2.55116070804071,"hs90_3677"
2.54955775464405,"u14_212231"
2.54830145335603,"a96_591072"
2.54739347367724,"u11_380035"
2.54726977749716,"u12_209068"
2.54600223919043,"c1856"
2.54322733322209,"hc85_6716"
2.53557569729605,"k1232"
2.53544957578068,"hc91_3672"
2.52961143891014,"u14_213255"
2.52668511192419,"u05_719005"
2.52645277672312,"u16_903131"
2.52428945018527,"ar18_181045"
2.51849371731988,"dsn11_27183"
2.5168022682715,"e16410"
2.50889850530126,"ln91_5895"
2.50803428136761,"u13_612076"
2.50405308341541,"hs93_3762"
2.50166273932853,"u03_260216"
2.50149306261072,"u16_929142"
2.49960992720967,"hc89_2436"
2.49857434176567,"cl05_46231"
2.49706618276896,"a99_218031"
2.49590839821915,"u00_404046"
2.4956675940716,"a07_626004"
2.49326811341981,"md90_5761"
2.4925312782949,"a01_612038"
2.48804052000759,"k07_1031"
2.483236423127,"ss92_2060"
2.48161696839708,"a03_942055"
2.48103146471503,"ln95_3027"
2.47469902661937,"hc90_1300"
2.46891617576493,"u17_928093"
2.46349346429889,"k1229"
2.46257455078167,"u94_2132"
2.46030069095301,"a95_682026"
2.45955019579753,"c2017"
2.45874763922871,"a97_972018"
2.45359192884928,"hs93_3779"
2.45160954594533,"ln92_7369"
2.44690372186887,"ld16_4471a"
2.44553216501393,"k1183"
2.44371043075671,"k1350"
2.44266171661654,"u05_222052"
2.4392893680523,"a04_545045"
2.43359136058169,"sa17_740pr"
2.43047069216694,"ld14_3698"
2.43011836920118,"u00_320280"
2.42967953627269,"u94_2218"
2.4292071565496,"u13_329025"
2.42779114290301,"u99_046024"
2.42243777892135,"ds11_06152"
2.42132516932744,"hs90_3515"
2.42054557108011,"hc78_676_2"
2.41781504162367,"k07_2015"
2.41131105149204,"ar08_286003"
2.41054079347531,"lg10_2983"
2.41037527459125,"ss90_745"
2.40044112921701,"u94_3410"
2.3957975631479,"k1406"
2.39159036726976,"e01205"
2.39030091795914,"u97_2104"
2.38909107978038,"ag2607"
2.38909107978038,"u07_135478r"
2.38626962097567,"k1444"
2.38468856991486,"ag3803"
2.38429996507883,"u97_3239"
2.37946445799355,"e06164"
2.37869887632117,"ld15_443"
2.37784724758479,"u16_323153"
2.37663042659337,"u15_320173"
2.37393822267432,"ar14_248020"
2.36376306232977,"ld08_6068a"
2.36217316259576,"u98_202454"
2.35918674177124,"u94_3433"
2.35847305637199,"e05053"
2.35805522381152,"u09_406141"
2.35261553596088,"a91_702035"
2.35261553596085,"a91_701015"
2.34884059681726,"orc_8805"
2.34798117945076,"k1228"
2.34289340404284,"e12042"
2.34207507732965,"aw11_203034"
2.34179713378089,"nex2605b0r"
2.34156992762001,"u15_224117"
2.34149807806797,"ld16_10183"
2.34054648340731,"u08_712053r"
2.33727063752768,"a02_236015"
2.33180465096103,"lg04_4696"
2.33154174004287,"hc85_2125"
2.33125596878761,"a06_911034"
2.33072327158344,"e16030"
2.32169170092032,"hc83_4532"
2.31717070410326,"u11_396029"
2.31404153845064,"nex27032r"
2.31079396429267,"hs87_2061"
2.31045694127498,"a94_674017"
2.30971783330024,"u09_133021"
2.30803159340982,"u90_2711"
2.30557213183849,"ar07_276066"
2.30441788517735,"hf91_385"
2.30425044163772,"a94_772006"
2.3041262689701,"u94_2629"
2.30154141298605,"a87_297015"
2.29922308651494,"a99_314011"
2.29827673147438,"u13_931068"
2.29553341425859,"c1941"
2.28687854494984,"ld05_16874"
2.28565942491689,"lg14_6165"
2.28386664711564,"k1562"
2.2833911199937,"a98_884037"
2.28298927247226,"u93_3323"
2.28030597414857,"a02_337048"
2.27513832025824,"a01_612043"
2.27485013219362,"ln94_2879"
2.27164009704394,"ia3024"
2.27089208125275,"u11_649117"
2.26878137862276,"u85_74089"
2.26618830587908,"hc87_5845"
2.26350547504754,"u02_341439"
2.26259833654236,"c1964"
2.25945354511961,"ln90_608"
2.25758821302081,"u14_912101"
2.25689543756863,"hs1_3710"
2.25046067710807,"hs89_6088"
2.24989162647314,"ld17_12679"
2.24974072357308,"ar06_364016"
2.245418002403,"a10_653019"
2.24144770380609,"ld08_rst5_10"
