"BLUP","Genotype"
2.07952666548995,"u09_211049"
2.07722147146231,"cl05_4619"
2.07539543688208,"u92_3602"
2.07440138622628,"sn97_3342"
2.07205721157032,"hc97_188r"
2.07205431473223,"a97_971021"
2.07052696564372,"u94_2236"
2.06819003837593,"a04_544030"
2.06540851821473,"u98_304463"
2.06315153481205,"ld13_14327r2"
2.0616104488656,"sl89_1268"
2.06081540616341,"hs84_6247"
2.05563114576643,"hs89_2988"
2.05390427467262,"hc89_57"
2.05322948161896,"lg08_3009"
2.05297614814896,"sa12_1338"
2.05143683879015,"a91_607024"
2.05002843190497,"ln94_3107"
2.04917470417204,"c1901"
2.04856449520648,"a06_812001"
2.04555972626986,"a92_725035"
2.04454063653691,"a98_980065"
2.04452727590936,"hf99_032"
2.04137770157801,"hc00_2766"
2.04108935754541,"ar11_214013"
2.03791051519761,"u07_200211"
2.03537819509341,"hs99_4256"
2.02909212814777,"ar08_286004"
2.02056934395391,"ar12_228071"
2.02009849672619,"u14_217227"
2.01660800067491,"u14_221187"
2.01219690105674,"a05_312029"
2.01216229165291,"u10_436068"
2.01051529601849,"hm16_w150"
2.00829427586776,"ar09_392042"
2.00700220163,"u03_200255"
2.00699599307844,"lg06_2855"
2.00574623966891,"u05_829076r"
1.99876876987757,"a95_681003"
1.99330165447997,"hf97_011"
1.99319344741721,"ln88_9230"
