"GEN","BLUP","GxE_PC1","GxE_PC2","Stability","Genotype_Mean_Yield"
"a06_812013",1.18877175787117,NA,NA,NA,NA
"a06_812020",2.57690577324193,NA,NA,NA,NA
"a06_812022",3.57635005154846,NA,NA,NA,NA
"a06_812025",-3.14320811571334,NA,NA,NA,NA
"a06_911002",3.37756943935951,NA,NA,NA,NA
"a06_911015",0.91021814173188,NA,NA,NA,NA
"a06_911034",2.33125596878761,NA,NA,NA,NA
"a06_911044",0.975578441006808,NA,NA,NA,NA
"a06_912002",3.99999842927246,NA,NA,NA,NA
"a06_912003",3.96898091141958,NA,NA,NA,NA
"a06_912004",4.47146470063639,NA,NA,NA,NA
"a06_912006",0.844857842456981,NA,NA,NA,NA
"a06_912008",1.01681321040411,NA,NA,NA,NA
"a06_912012",0.51805634608248,NA,NA,NA,NA
"a06_912030",3.00174771852881,NA,NA,NA,NA
"a06_912033",3.09978816744115,NA,NA,NA,NA
"a06_912036",3.58999041200294,NA,NA,NA,NA
"a06_912037",3.96581213283363,NA,NA,NA,NA
"a06_912043",1.20433948846897,NA,NA,NA,NA
"a07_427027",-2.69705992382302,NA,NA,NA,NA
"a07_427030",-2.76900286791539,NA,NA,NA,NA
"a07_527003",0.532156304130882,NA,NA,NA,NA
"a07_527004",1.27107956567639,NA,NA,NA,NA
"a07_527007",-2.48511368050956,NA,NA,NA,NA
"a07_527010",3.01986461799904,NA,NA,NA,NA
"a07_527020",3.66026477800452,NA,NA,NA,NA
"a07_527022",2.74892608876595,NA,NA,NA,NA
"a07_527026",2.77482525474762,NA,NA,NA,NA
"a07_527035",0.692256344132984,NA,NA,NA,NA
"a07_527045",3.05681078107626,NA,NA,NA,NA
"a07_626001",0.223571446051526,NA,NA,NA,NA
"a07_626002",3.65786373588249,NA,NA,NA,NA
"a07_626004",2.4956675940716,NA,NA,NA,NA
"a07_626010",3.3998763701642,NA,NA,NA,NA
"a07_626013",0.581417854901277,NA,NA,NA,NA
"a07_626020",0.729202507210218,NA,NA,NA,NA
"a07_626022",1.49809728191215,NA,NA,NA,NA
"a07_626024",1.73906429798809,NA,NA,NA,NA
"a07_626035",-2.09671917820752,NA,NA,NA,NA
"a07_626043",0.632073316519675,NA,NA,NA,NA
"a07_626045",-1.05095438980907,NA,NA,NA,NA
"a07_627006",0.207231371232802,NA,NA,NA,NA
"a07_627021",-1.52481655955213,NA,NA,NA,NA
"a07_627024",-1.65553715810194,NA,NA,NA,NA
"a07_627026",0.109190922320448,NA,NA,NA,NA
"a07_627028",-2.24377985157607,NA,NA,NA,NA
"a07_627030",-2.48888097385695,NA,NA,NA,NA
"a07_627033",-3.94314763272356,NA,NA,NA,NA
"a07_627034",0.942534738075467,NA,NA,NA,NA
"a07_627039",-0.577092220066035,NA,NA,NA,NA
"a07_627042",-0.233950648872776,NA,NA,NA,NA
"a08_152008",-0.905972397032191,NA,NA,NA,NA
"a08_152030",-1.51481174787431,NA,NA,NA,NA
"a08_152036",-0.437987664721106,NA,NA,NA,NA
"a08_152041",-1.17691092626589,NA,NA,NA,NA
"a08_248012",-2.81485748935683,NA,NA,NA,NA
"a08_248015",2.1380830039713,NA,NA,NA,NA
"a08_248020",1.83076906357863,NA,NA,NA,NA
"a08_248021",-1.3739571293445,NA,NA,NA,NA
"a08_248023",1.03985885836844,NA,NA,NA,NA
"a08_248024",-0.992180110879701,NA,NA,NA,NA
"a08_248028",-0.90597239703281,NA,NA,NA,NA
"a08_248029",-1.32469557857487,NA,NA,NA,NA
"a08_248030",-1.64121760896532,NA,NA,NA,NA
"a08_248031",0.97660358379176,NA,NA,NA,NA
"a08_248032",-1.05375704934178,NA,NA,NA,NA
"a08_248033",-0.388726113951474,NA,NA,NA,NA
"a08_248037",1.09757604800651,NA,NA,NA,NA
"a08_248043",4.34396532218314,NA,NA,NA,NA
"a08_249008",-0.995143207833503,NA,NA,NA,NA
"a08_249009",0.226780116046247,NA,NA,NA,NA
"a08_249011",-0.78281852010868,NA,NA,NA,NA
"a08_249012",-0.0573963878314597,NA,NA,NA,NA
"a08_350016",1.21031590614497,NA,NA,NA,NA
"a08_350018",-0.868737346742494,NA,NA,NA,NA
"a08_350020",0.176315934521707,NA,NA,NA,NA
"a08_350036",3.79531583520307,NA,NA,NA,NA
"a08_350042",2.71174052247462,NA,NA,NA,NA
"a08_350049",1.11116522393451,NA,NA,NA,NA
"a08_350064",-0.203995298565279,NA,NA,NA,NA
